,CodigoPedido,SKU,NomeProduto,Marca,valorTotal,Mes,Ano
0,39487445,B-2839,Bobinex - Papel de Parede Ref. 2839 Cinza Classique - 52cm X 10m B-2839 Preço por Rolo,Bobinex,69.99,11,2020
1,44681195,B-2839,Bobinex - Papel de Parede Ref. 2839 Cinza Classique - 52cm X 10m B-2839 Preço por Rolo,Bobinex,90.99,1,2021
2,46497416,B-3702,Bobinex - Papel de Parede Ref. 3702 Verde Atemporal Folhagens - 52cm X 10m B-3702 Preço por Rolo,Bobinex,87.99,2,2021
3,32061890,B-3703,Bobinex - Papel de Parede Ref. 3703 Cinza Atemporal Geométrico - 52cm X 10m B-3703 Preço por Rolo,Bobinex,356.16,8,2020
4,31911575,B-3709,Bobinex - Papel de Parede Ref. 3709 Cinza Atemporal Cimento - 52cm X 10m B-3709 Preço por Rolo,Bobinex,215.6,8,2020
5,44024402,B-3720,Bobinex - Papel de Parede Ref. 3720 Cinza Atemporal Listras Clássicas - 52cm X 10m B-3720 Preço por Rolo,Bobinex,94.99,1,2021
6,33476599,B-3805,Bobinex - Papel de Parede Ref. 3805 Branco Atemporal Tijolo - 52cm X 10m B-3805 Preço por Rolo,Bobinex,159.0,9,2020
7,46904132,B-3806,Bobinex - Papel de Parede Ref. 3806 Bege Atemporal Tijolo - 52cm X 10m B-3806 Preço por Rolo,Bobinex,379.02,2,2021
8,36348499,B-3300,Bobinex - Papel de Parede Ref. 3300 Azul Bambinos - 52cm X 10m B-3300 Preço por Rolo,Bobinex,408.0,10,2020
9,45879175,B-3334,Bobinex - Papel de Parede Ref. 3334 Azul Bambinos - 52cm X 10m B-3334 Preço por Rolo,Bobinex,250.18,2,2021
10,54103001,B-3350,Bobinex - Papel de Parede Ref. 3350 Bege Bambinos - 52cm X 10m B-3350 Preço por Rolo,Bobinex,241.98,5,2021
11,44029723,B-3362,Bobinex - Papel de Parede Ref. 3362 Azul Bambinos - 52cm X 10m B-3362 Preço por Rolo,Bobinex,215.98,1,2021
12,46497200,B-3600,Bobinex - Papel de Parede Ref. 3600 Rosa Brincar - 52cm X 10m B-3600 Preço por Rolo,Bobinex,670.0,2,2021
13,46597303,B-3600,Bobinex - Papel de Parede Ref. 3600 Rosa Brincar - 52cm X 10m B-3600 Preço por Rolo,Bobinex,670.0,2,2021
14,34356493,B-3602,Bobinex - Papel de Parede Ref. 3602 Rosa Brincar - 52cm X 10m B-3602 Preço por Rolo,Bobinex,287.98,9,2020
